title,country,year_release,box_office,type_of_subject,lead_actor_actress
An American Crime,US,2007,NA,Other,Ellen Page
An Angel at My Table,UK,1990,1100000,Author,Kerry Fox
Anastasia,US,1956,NA,Other,Ingrid Bergman
Anna and the King of Siam,US,1946,NA,Other,Irene Dunne
Annie Get Your Gun,US,1950,8000000,Athlete,Betty Hutton
Annie Oakley,US,1935,NA,Athlete,Barbara Stanwyck
Another Country,UK,1984,NA,Military,Rupert Everett
Antwone Fisher,US,2002,21100000,Military,Derek Luke
Auto Focus,US,2002,2060000,Actor,Greg Kinnear
Awakenings,US,1990,52100000,Medicine,Robin Williams
Baadasssss!,US,2003,365000,Actor,Mario Van Peebles
Baader,UK,2002,NA,Military,Frank Giering
Backbeat,UK,1994,2390000,Musician,Ian Hart
Backbeat,UK,1994,2390000,Musician,Stephen Dorff
Bandit Queen,UK,1994,400000,Criminal,Seema Biswas
Barabbas,US,1961,NA,Historical,Anthony Quinn
Basquiat,US,1996,2960000,Artist,Jeffrey Wright
Bathory: Countess of Blood,UK,2008,NA,Criminal,Anna Friel
Battle Hymn,US,1957,NA,Military,Rock Hudson
Beau Brummell,US,1954,NA,Other,Stewart Granger
Becket,US/UK,1964,NA,Historical,Peter O'Toole
Becket,US/UK,1964,NA,Historical,NA
Becoming Jane,UK,2007,18700000,Author,Anne Hathaway
Before Night Falls,US,2000,4220000,Activist,Javier Bardem
Behind the Lines,Canada/UK,1997,19300,Military,James Wilby
Bernard and Doris,US,2006,NA,Other,Ralph Fiennes
Bernard and Doris,US/UK,2006,NA,Other,Susan Sarandon
Best,UK,2000,NA,Athlete,John Lynch
Beyond the Law,US,1993,NA,Other,Charlie Sheen
Beyond the Sea,US/UK,2004,6140000,Musician,Kevin Spacey
Bandit Queen,UK,1994,400000,Criminal,Seema Biswas
Big Eyes,US/Canada,2014,14500000,Artist,Amy Adams
Billy the Kid,US,1941,NA,Criminal,Robert Taylor
Bird,US,1988,2180000,Musician,Forest Whitaker
Birdman of Alcatraz,US,1962,NA,Criminal,Burt Lancaster
Blaze,US,1989,19100000,Politician,Paul Newman
Bloodsport,US,1988,11800000,Athlete,Jean-Claude Van Damme
Blossoms in the Dust,US,1941,NA,Other,Greer Garson
Blow,US,2001,52900000,Criminal,Johnny Depp
Blue,UK,1993,1720000,Other,Derek Jarman
Blue Caprice,US,2013,86700,Criminal,Isaiah Washington
Bobby Jones: Stroke of Genius,US,2004,2690000,Athlete,Jim Caviezel
Bonnie and Clyde,US,1967,NA,Criminal,Warren Beatty
Bonnie and Clyde,US,1967,NA,Criminal,Faye Dunaway
Born on the Fourth of July,US,1989,70000000,Military / activist,Tom Cruise
Bound for Glory,US,1976,NA,Singer,David Carradine
Boys Don't Cry,US,1999,11500000,Other,Hilary Swank
Boys Town,US,1938,NA,Other,Spencer Tracy
Braveheart,US,1995,75600000,Military,Mel Gibson
Breach,US,2007,33000000,Criminal,Chris Cooper
Brigham Young,US,1940,NA,Other,Dean Jagger
Bright Star,UK,2009,4440000,Author (poet),Ben Whishaw
Bright Star,UK,2009,4440000,Other,Abbie Cornish
Bronson,UK,2008,105000,Criminal,Tom Hardy
"Brother Sun, Sister Moon",UK,1972,NA,Historical,Graham Faulkner
Bubble Boy,US,2001,5000000,Medicine,Jake Gyllenhaal
Buffalo Bill,US,1944,NA,Other,Joel McCrea
Bugsy,US,1991,49100000,Criminal,Warren Beatty
Burning Blue,US,2013,NA,Military,Trent Ford
Buster,UK,1988,540000,Criminal,Phil Collins
Butch Cassidy and the Sundance Kid,US,1969,102000000,Criminal,Paul Newman
Butch Cassidy and the Sundance Kid,US,1969,102000000,Criminal,Robert Redford
Cadillac Records,US,2008,8130000.000000001,Singer,Beyonc̩ Knowles
Cadillac Records,US,2008,8130000.000000001,Musician,Jeffrey Wright
Cadillac Records,US,2008,8130000.000000001,Musician,Adrien Brody
Caesar and Cleopatra,UK,1945,NA,Historical,Claude Rains
Caesar and Cleopatra,UK,1945,NA,Historical,Vivien Leigh
Callas Forever,UK,2002,446000,Singer,Fanny Ardant
Cannibal! The Musical,US,1993,NA,Criminal,Trey Parker
Capone,US,1975,NA,Criminal,Ben Gazzara
Capote,US/Canada,2005,28700000,Author,Philip Seymour Hoffman
Captain Kidd,US,1945,NA,Historical,Charles Laughton
Captain Phillips,US,2013,107000000,Military,Tom Hanks
Caravaggio,UK,1986,3150,Artist,Multiple
Carbine Williams,US,1952,NA,Other,James Stewart
Carrington,UK,1995,3240000,Author,Jonathan Pryce
Breach,US,2007,33000000,Criminal,Chris Cooper
Carrington,UK,1995,3240000,Artist,Emma Thompson
Carve Her Name with Pride,UK,1958,NA,Military,Virginia McKenna
Casino,US,1995,42400000,Criminal,Robert De Niro
Casino Jack,Canada,2010,1040000,Other,Kevin Spacey
Cass,UK,2008,NA,Other,Nonso Anozie
Catch a Fire,US/UK,2006,4290000,Activist,Derek Luke
Catch Me If You Can,US/Canada,2002,164000000,Criminal,Leonardo DiCaprio
Cesar Chavez,US,2014,5550000,Activist,Michael Pe̱a
Chaplin,US,1992,9490000,Comedian,Robert Downey Jr.
Charlie Wilson's War,US,2007,66599999.99999999,Military,Tom Hanks
Chasing Mavericks,US,2012,6000000,Athlete,Jonny Weston
Chattahoochee,US,1989,259000,Military,Gary Oldman
Che: Part One,US,2008,1730000,Activist,Benicio Del Toro
Che: Part Two,US,2008,NA,Activist,Demi��n Bichir
Che!,US,1969,2000000,Activist,Omar Sharif
Chisum,US,1970,6000000,Other,John Wayne
Christopher Columbus: The Discovery,US/UK,1992,8250000,Other,Georges Corraface
Ciao Manhattan,US,1972,NA,Actress,Edie Sedgwick
Cinderella Man,US,2005,61600000,Athlete,Russell Crowe
Cleopatra,US,1934,NA,Historical,Claudette Colbert
Cleopatra,US/UK,1963,57800000,Historical,Elizabeth Taylor
Coal Miner's Daughter,US,1980,79900000,Singer,Sissy Spacek
Cobb,US,1994,1010000,Athlete,Tommy Lee Jones
Communion,US/UK,1989,1920000,Other,Christopher Walken
Compulsion,US,1959,NA,Criminal,Dean Stockwell/Bradford Dillman
Compulsion,US,1959,NA,Criminal,Dean Stockwell/Bradford Dillman
Confessions of a Dangerous Mind,US/Canada,2002,NA,Actor,Sam Rockwell
Control,US/UK,2007,872000,Musician,Sam Riley
Conviction,US,2010,6780000,Other,Hilary Swank
Copying Beethoven,US,2006,353000,Musician,Ed Harris
Counterpunch,US,2013,NA,Athlete,Alvaro Orlando
Creation,UK,2009,341000,Academic,Paul Bettany
Cromwell,UK,1970,NA,Historical,Richard Harris
Cross Creek,US,1983,200000,Author,Mary Steenburgen
Crutch,US,2004,NA,Actor,Eben Gordon
Cry Freedom,UK,1987,5900000,Activist,Denzel Washington
Custer of the West,US,1967,NA,Military,Robert Shaw
Dahmer,US,2002,NA,Criminal,Jeremy Renner
Dallas Buyers Club,US,2013,27300000,Activist,Matthew McConaughey
Dance with a Stranger,UK,1985,138000,Criminal,Miranda Richardson
Dangerous Beauty,US,1998,4530000,Other,Catherine McCormack
Dangerous Minds,US,1995,84900000,Teacher,Michelle Pfeiffer
De-Lovely,US/UK,2004,13300000,Musician,Kevin Kline
Death in Granada,US,1996,226000,Author,Andy Garcia
Desert Dancer,UK,2014,144000,Artist,Reece Ritchie
Desert Flower,UK,2009,44300,Activist,Soraya Omar-Scego (young) and Liya Kebede (older)
D̩sir̩e,US,1954,NA,Historical,Jean Simmons
D̩sir̩e,US,1954,NA,Historical,Marlon Brando
Devil's Knot,US,2013,NA,Criminal,James Hamrick
Devil's Knot,US,2013,NA,Criminal,Seth Meriwether
Devil's Knot,US,2013,NA,Criminal,Kristopher Higgins
Devotion,US,1946,NA,Author,Olivia de Havilland
Devotion,US,1946,NA,Author,Ida Lupino
Devotion,US,1946,NA,Author,Nancy Coleman
Diana,UK,2013,332000,Other,Naomi Watts
Digging Up the Marrow,US,2014,NA,Other,Adam Green
Dillinger,US,1945,4000000,Criminal,Lawrence Tierney
Dillinger,US,1973,NA,Criminal,Warren Oates
Disraeli,US,1929,NA,World leader,George Arliss
Domino,US/UK,2005,10100000,Other,Keira Knightley
Donnie Brasco,US,1997,42000000,Government,Johnny Depp
Downtown 81,US,1981,100000,Artist,Jean Michel Basquiat
Dr. Ehrlich's Magic Bullet,US,1940,NA,Medicine,Edward G. Robinson
Dragon: The Bruce Lee Story,US,1993,35100000,Athlete,Jason Scott Lee
Dreamchild,UK,1985,NA,Other,Coral Browne
Ed Gein,US/UK,2000,5710,Criminal,Steve Railsback
Ed Wood,US,1994,5890000,Other,Johnny Depp
"Edison, the Man",US,1940,NA,Academic,Spencer Tracy
Eichmann,UK,2007,NA,Military,Thomas Kretschmann
El cantante,US,2006,7560000,Musician,Marc Anthony
El Cid,US,1961,26600000,Historical,Charlton Heston
Elizabeth,US/UK,1998,30000000,Historical,Cate Blanchett
Elizabeth: The Golden Age,US/UK,2007,16300000,Historical,Cate Blanchett
Erin Brockovich,US,2000,126000000,Activist,Julia Roberts
Escape from Alcatraz,US,1979,36500000,Criminal,Jack Thibeau
Escape from Alcatraz,US,1979,36500000,Criminal,Clint Eastwood
Escape from Alcatraz,US,1979,36500000,Criminal,Fred Ward
Evel Knievel,US,1971,NA,Athlete,George Hamilton
Everyman's War,US,2009,NA,Military,Cole Carson
Evita,US,1996,50000000,Actress / activist,Madonna
Exodus: Gods and Kings,UK,2014,65000000,Historical,Christian Bale
Factory Girl,US,2006,1650000,Actress,Sienna Miller
Fair Game,US,2010,9530000,Government,Naomi Watts
Fat Man and Little Boy,US,1989,3560000,Military,Paul Newman
Fat Man and Little Boy,US,1989,3560000,Academic,Dwight Schultz
Fear Strikes Out,US,1957,NA,Athlete,Anthony Perkins
Fellini's Casanova,US,1976,NA,Historical,Donald Sutherland
Find Me Guilty,US,2006,1170000,Criminal,Vin Diesel
Finding Graceland,US,1998,NA,Musician,Harvey Keitel
Finding Neverland,US/UK,2004,51700000,Author,Johnny Depp
Fire in the Sky,US,1993,20100000,Other,D.B. Sweeney
Flash of Genius,US/Canada,2008,4230000,Other,Greg Kinnear
Foxcatcher,US,2014,12100000,Athlete,Channing Tatum
Frances,US,1982,5000000,Actress,Jessica Lange
Francis of Assisi,US,1961,NA,Historical,Bradford Dillman
Frank & Jesse,US,1995,NA,Criminal,Bill Paxton
Frank & Jesse,US,1995,NA,Criminal,Rob Lowe
Frankie & Alice,Canada,2010,693000,Other,Halle Berry
Freedom Writers,US,2007,36600000,Other,Hilary Swank
Freud,US,1962,NA,Academic,Montgomery Clift
Frida,US/Canada,2002,25800000,Artist,Salma Hayek
Fruitvale Station,US,2013,16100000.000000002,Other,Michael B. Jordan
Funny Girl,US,1968,223000,Actress,Barbra Streisand
Fur: An Imaginary Portrait of Diane Arbus,US,2006,221000,Other,Nicole Kidman
Gandhi,UK,1982,NA,Activist,Ben Kingsley
Gentleman Jim,US,1942,NA,Athlete,Errol Flynn
Geronimo,US,1962,NA,Military,Chuck Connors
Get on Up,US/UK,2014,30500000,Singer,Chadwick Boseman
Get Rich or Die Tryin',US/Canada,2005,31000000,Singer,50 Cent
Girl with a Pearl Earring,UK,2003,11600000,Artist,Colin Firth
"Girl, Interrupted",US,1999,28900000,Author,Winona Ryder
Glory Road,US,2006,42600000,Athlete,"With: Josh Lucas, Derek Luke, Austin Nichols"
Gods and Monsters,US/UK,1998,6390000,Other,Ian McKellen
Goltzius and the Pelican Company,UK,2012,NA,Artist,Ramsey Nasr
"Good Morning, Vietnam",US,1987,124000000,Media,Robin Williams
Good Vibrations,UK,2012,NA,Musician,Richard Dormer
Goodfellas,US,1990,46800000,Criminal,Ray Liotta
Gorillas in the Mist,US,1988,24700000,Academic,Sigourney Weaver
Goya's Ghosts,US,2006,1000000,Artist,Stellan Skarsg̴rd
Grace of Monaco,US,2014,NA,Actress,Nicole Kidman
Gracie,US,2007,2960000,Athlete,Carly Schroeder
Greased Lightning,US,1977,NA,Athlete,Richard Pryor
Great Balls of Fire!,US,1989,13700000,Musician,Dennis Quaid
Grey Owl,Canada/UK,1999,315000,Other,Pierce Brosnan
Gypsy,US,1962,NA,Artist,Natalie Wood
Gypsy,US,1962,NA,Other,Rosalind Russell
Hans Christian Andersen,US,1952,NA,Author,Danny Kaye
Harlow,US,1965,NA,Actress,Carroll Baker
Heart Like a Wheel,US,1983,NA,Athlete,Bonnie Bedelia
Heaven & Earth,US,1993,5860000,Other,Hiep Thi Le
Hell to Eternity,US,1960,NA,Military,Jeffrey Hunter
Henry & June,US,1990,11600000,Author,Fred Ward
Henry & June,US,1990,11600000,Author,Maria de Medeiros
Henry & June,US,1990,11600000,Other,Uma Thurman
Henry V,UK,1944,NA,Historical,Laurence Olivier
Henry V,UK,1989,10200000,Historical,Kenneth Branagh
High Roller: The Stu Ungar Story,US,2003,NA,Other,Michael Imperioli
Hilary and Jackie,UK,1998,4870000,Musician,Emily Watson
Hilary and Jackie,UK,1998,4870000,Musician,Rachel Griffiths
His Majesty O'Keefe,US,1954,NA,Other,Burt Lancaster
Hitchcock,US/UK,2012,6000000,Other,Anthony Hopkins
Hitchcock,US/UK,2012,6000000,Other,Helen Mirren
Hitler: A Film from Germany,UK,1977,NA,Military,Heinz Schubert
Hitler: The Last Ten Days,UK,1973,NA,Military,Alec Guinness
Hoffa,US,1992,24300000,Activist,Jack Nicholson
Hollywoodland,US,2006,14400000,Actor,Ben Affleck
Houdini,US,1953,NA,Other,Tony Curtis
Howl,US,2010,617000,Author,James Franco
Hunger,UK,2008,154000,Activist,Michael Fassbender
Hyde Park on Hudson,UK,2012,6370000,World leader,Bill Murray
Hyde Park on Hudson,UK,2012,6370000,Other,Laura Linney
I Am a Sex Addict,US,2005,113000,Actor,Caveh Zahedi
I Love You Phillip Morris,US,2009,2040000,Criminal,Jim Carrey
I Shot Andy Warhol,US/UK,1996,1810000,Activist,Lil Taylor
I Want to Live!,US,1958,NA,Criminal,Susan Hayward
I'll Cry Tomorrow,US,1955,NA,Actress,Susan Hayward
I'll See You in My Dreams,US,1951,NA,Musician,Danny Thomas
I'm Not There.,US/Canada,2007,4000000,Musician,-
If You Could See What I Hear,Canada,1982,NA,Singer,Marc Singer
Immortal Beloved,US/UK,1994,14400000,Musician,Gary Oldman
Impromptu,UK,1991,4080000,Musician,Hugh Grant
Impromptu,UK,1991,4080000,Other,Judy Davis
In Love and War,US,1996,14500000,Media,Chris O'Donnell
In Love and War,US,1996,14500000,Other,Sandra Bullock
In the Name of the Father,US/UK,1993,25000000,Other,Daniel Day-Lewis
Infamous,US,2006,1150000,Other,Toby Jones
Infinity,US,1996,146000,Academic,Matthew Broderick
Interrupted Melody,US,1955,NA,Singer,Eleanor Parker
Into the Wild,US,2007,18400000,Athlete,Emile Hirsch
Invictus,US,2009,37500000,World leader,Morgan Freeman
Invictus,US,2009,37500000,Athlete,Matt Damon
Invincible,US,2006,57800000,Athlete,Mark Wahlberg
Iris,US/UK,2001,1200000,Author,Judi Dench and Kate Winslet
Isadora,UK,1968,NA,Artist,Vanessa Redgrave
Isn't She Great,US/UK,2000,2950000,Author,Bette Midler
iSteve,US,2013,NA,Other,Justin Long
J. Edgar,US,2011,37300000,Government,Leonardo DiCaprio
Jamesy Boy,US,2014,NA,Criminal,Spencer Lofranco
Jappeloup,Canada,2013,NA,Athlete,Guillaume Canet
Jean Charles,UK,2009,NA,Other,Selton Mello
Jefferson in Paris,US,1995,2470000,Historical,Nick Nolte
Jersey Boys,US,2014,47000000,Musician,Erich Bergen
Jersey Boys,US,2014,47000000,Musician,John Lloyd Young
Jersey Boys,US,2014,47000000,Musician,Michael Lomenda
Jersey Boys,US,2014,47000000,Musician,Vincent Piazza
Jesse James,US,1939,NA,Criminal,Tyrone Power
Jim Thorpe -- All-American,US,1951,NA,Athlete,Burt Lancaster
Jimi: All Is by My Side,US/UK,2013,323000,Musician,Andr̩ Benjamin
Jinnah,UK,1998,NA,Other,Christopher Lee
"Jo Jo Dancer, Your Life Is Calling",US,1986,18000000,Comedian,Richard Pryor
Joan of Arc,US,1948,NA,Historical,Ingrid Bergman
Jobs,US,2013,16100000.000000002,Other,Ashton Kutcher
John Paul Jones,US,1959,NA,Military,Robert Stack
Juarez,US,1939,NA,World leader,Paul Muni
Julie & Julia,US,2009,94100000,Other,Meryl Streep
Julie & Julia,US,2009,94100000,Other,Amy Adams
Kid Cannabis,US,2014,5570,Criminal,Jonathan Daniel Brown
Kill the Irishman,US,2011,1190000,Criminal,Ray Stevenson
Kill the Messenger,US,2014,2450000,Media,Jeremy Renner
Kill Your Darlings,US,2013,1030000,Author,Daniel Radcliffe
Killer: A Journal of Murder,US,1995,65700,Criminal,James Woods
King David,US,1985,NA,Historical,Richard Gere
King of Kings,US,1961,NA,Historical,Jeffrey Hunter
Kinsey,US,2004,10200000,Academic,Liam Neeson
Klimt,UK,2006,NA,Artist,John Malkovich
Knute Rockne All American,US,1940,NA,Athlete,Pat O'Brien
Korczak,UK,1990,NA,Other,Wojciech Pszoniak
Kundun,US,1997,5530000,Activist,Tenzin Thuthob Tsarong
La Bamba,US,1987,54200000,Musician,Lou Diamond Phillips
La Vie en Rose,Canada/UK,2007,10300000,Singer,Marion Cotillard
Lady Jane,UK,1986,278000,Historical,Helena Bonham Carter
Lady Sings the Blues,US,1972,9600000,Musician,Diana Ross
Last Days,US,2005,455000,Musician,Michael Pitt
Lawrence of Arabia,UK,1962,342000,Military,Peter O'Toole
Lee Daniels' The Butler,US,2013,117000000,Other,Forest Whitaker
Lenny,US,1974,NA,Comedian,Dustin Hoffman
Lincoln,US,2012,182000000,World leader,Daniel Day-Lewis
Lion of the Desert,US,1981,NA,Activist,Anthony Quinn
Lisztomania,UK,1975,NA,Musician,Roger Daltrey
Little Ashes,UK,2008,480000,Artist,Robert Pattinson
Lone Survivor,US,2013,125000000,Military,Mark Wahlberg
Lords of Dogtown,US,2005,11000000,Athlete,Emile Hirsch
Lords of Dogtown,US,2005,11000000,Athlete,Victor Rasuk
Lords of Dogtown,US,2005,11000000,Athlete,John Robinson
Louis Cyr,Canada,2013,NA,Athlete,Antoine Bertrand
Love & Mercy,US,2014,9260000,Musician,John Cusack
Love Is a Many-Splendored Thing,US,1955,NA,Other,Jennifer Jones
Love Is the Devil: Study for a Portrait of Francis Bacon,US/UK,1998,343000,Artist,Derek Jacobi
Love Me or Leave Me,US,1955,NA,Singer,Doris Day
Lovelace,US,2013,355000,Actress,Amanda Seyfried
Low Down,US,2014,44500,Musician,John Hawkes
Lucky Luciano,US,1973,NA,Criminal,Gian Maria Volont̩
Lust for Life,US,1956,NA,Artist,Kirk Douglas
Luther,US,2003,5670000,Historical,Joseph Fiennes
MacArthur,US,1977,NA,Military,Gregory Peck
Machine Gun Preacher,US,2011,538000,Other,Gerard Butler
Machine-Gun Kelly,US,1958,NA,Criminal,Charles Bronson
Madame Curie,US,1943,NA,Academic,Walter Pidgeon
Madame Curie,US,1943,NA,Academic,Greer Garson
Mahler,UK,1974,NA,Musician,Robert Powell
Mahler,UK,1974,NA,Other,Georgina Hale
Malcolm X,US,1992,48200000,Activist,Denzel Washington
Man of a Thousand Faces,US,1957,NA,Actor,James Cagney
Man on the Moon,US/UK,1999,34600000,Comedian,Jim Carrey
Mandela: Long Walk to Freedom,UK,2013,8320000,World leader,Idris Elba
Marie Antoinette,US,1938,NA,Historical,Norma Shearer
Marie Antoinette,US,2006,16000000,Historical,Kirsten Dunst
Mary of Scotland,US,1936,NA,Historical,Katharine Hepburn
"Mary, Queen of Scots",UK,1971,NA,Historical,Vanessa Redgrave
Mask,US,1985,42400000,Other,Eric Stolz
Meetings with Remarkable Men,UK,1979,NA,Other,Dragan Maksimovic
Men of Honor,US,2000,48800000,Athlete,Cuba Gooding Jr
Mesmer,Canada/UK,1994,NA,Medicine,Alan Rickman
Mesrine Part 1: Killer Instinct,Canada,2008,552000,Criminal,Vincent Cassel
Mesrine Part 2: Public Enemy #1,Canada,2008,275000,Criminal,Vincent Cassel
Michael Collins,US/UK,1996,11000000,Activist,Liam Neeson
Midnight Express,US/UK,1978,35000000,Criminal,Brad Davis
Milk,US,2008,31800000,Activist,Sean Penn
Million Dollar Arm,US,2014,36400000,Athlete,Jon Hamm
Million Dollar Mermaid,US,1952,NA,Athlete,Esther Williams
Miracle,US,2004,64400000.00000001,Athlete,Kurt Russell
Mishima: A Life in Four Chapters,US,1985,450000,Author,Ken Ogata
Miss Potter,US/UK,2006,2980000,Author,Ren̩e Zellweger
Mockingbird Don't Sing,US,2001,NA,Other,Tarra Steele
Modigliani,UK,2004,195000,Artist,Andy Garcia
Mommie Dearest,US,1981,NA,Actress,Faye Dunaway
Moneyball,US,2011,75600000,Athlete,Brad Pitt
Monsieur N.,UK,2003,16800,Historical,Philippe Torreton
Monster,US,2003,34500000,Criminal,Charlize Theron
Moulin Rouge,UK,1952,NA,Artist,Jos̩ Ferrer
Mr. Nice,UK,2010,NA,Criminal,Rhys Ifans
Mr. Turner,UK,2014,3960000,Artist,Timothy Spall
Mrs Brown,US/UK,1997,9220000,Historical,Judi Dench
Mrs. Parker and the Vicious Circle,US/Canada,1994,2140000,Author,Jennifer Jason Leigh
Muhammad: The Last Prophet,US,2002,NA,Historical,NA
"Murder, Inc.",US,1960,NA,Other,Henry Morgan
Music Within,US,2007,153000,Activist,Ron Livingston
My Childhood,UK,1972,NA,Other,Stephen Archibald
My Dinner with Andre,US,1981,5070,Actor,Andre Gregory
My Dinner with Andre,US,1981,5070,Actor,Wallace Shawn
My Left Foot,UK,1989,14700000,Artist,Daniel Day-Lewis
My Life So Far,US/UK,1999,616000,Other,Robert Norman
My One and Only,US,2009,2480000,Other,Logan Lerman
My Week with Marilyn,US/UK,2011,14600000,Actress,Michelle Williams
Ned Kelly,US/UK,2003,74900,Criminal,Heath Ledger
Nicholas and Alexandra,UK,1971,NA,Historical,Janet Suzman
Nicholas and Alexandra,UK,1971,NA,Historical,Michael Jayston
Night and Day,US,1946,NA,Musician,Cary Grant
Nightwatching,Canada/UK,2007,NA,Artist,Martin Freeman
Nixon,US,1995,13600000,World leader,Anthony Hopkins
Nora,UK,2000,12300,Author,Ewan McGregor
Nora,UK,2000,12300,Other,Susan Lynch
Nostradamus,UK,1994,364000,Historical,Tch̩ky Karyo
Notorious,US,2009,36800000,Musician,Jamal Woolard
Nowhere Boy,Canada/UK,2009,1450000,Musician,Aaron Taylor-Johnson
October Sky,US,1999,32500000,Other,Jake Gyllenhaal
One Chance,US/UK,2013,89700,Musician,James Corden
One Foot in Heaven,US,1941,NA,Other,Fredric March
One Night with the King,US,2006,13400000,Historical,Tiffany Dupont
Open Water,US,2003,30500000,Other,Blanchard Ryan
Open Water,US,2003,30500000,Other,Daniel Travis
Out of Africa,US,1985,87100000,Other,Meryl Streep
Pandaemonium,UK,2000,NA,Author (poet),John Hannah
Pandaemonium,UK,2001,NA,Author (poet),Linus Roache
Papillon,US,1973,53300000,Criminal,Steve McQueen
Party Monster,US,2003,297000,Criminal,Macaulay Culkin
Patch Adams,US,1998,135000000,Medicine,Robin Williams
Patton,US,1970,NA,Military,George Scott
Patty Hearst,US/UK,1988,1220000,Other,Natasha Richardson
Permanent Midnight,US,1998,1170000,Comedian,Ben Stiller
Persepolis,US,2007,4440000,Activist,Chiara Mastroianni
Phantom Punch,US,2008,NA,Athlete,Ving Rhames
Philomena,US/UK,2013,37700000,Other,Judi Dench
Pierrepoint: The Last Hangman,US/UK,2005,21800,Other,Timothy Spall
Pi̱ero,US,2001,1420000,Actor,Benjamin Bratt
Pollock,US,2000,8600000,Artist,Ed Harris
Prefontaine,US,1997,532000,Athlete,Jared Leto
Prick Up Your Ears,UK,1987,1650000,Author,Gary Oldman
Prick Up Your Ears,UK,1987,1650000,Other,Alfred Molina
Pride of the Marines,US,1945,NA,Military,John Garfield
Private Parts,US,1997,41200000,Media,Howard Stern
PT 109,US,1963,NA,Military,Cliff Robertson
Public Enemies,US,2009,97000000,Criminal,Johnny Depp
Queen Christina,US,1933,NA,Historical,Greta Garbo
Quills,US/UK,2000,7060000,Criminal,Geoffrey Rush
Quo Vadis,US,1951,NA,Historical,Deborah Kerr
Quo Vadis,US,1951,NA,Historical,Robert Taylor
Radio,US,2003,52300000,Athlete,Cuba Gooding Jr
Radio,US,2003,52300000,Athlete,Ed Harris
Ragamuffin,US,2014,NA,Singer,David Schultz
Raging Bull,US,1980,45200,Athlete,Robert De Niro
Rasputin: The Mad Monk,UK,1966,NA,Other,Christopher Lee
Ray,US,2004,75300000,Musician,Jamie Foxx
Reach for the Sky,UK,1956,NA,Military,Kenneth More
Reds,US,1981,NA,Media,Warren Beaty
Regeneration,US,1915,NA,Other,Rockliffe Fellowes
Rembrandt,UK,1936,NA,Artist,Charles Laughton
Remember the Titans,US,2000,116000000,Athlete,Denzel Washington
Rescue Dawn,US,2006,5480000,Military,Christian Bale
Restoration,US/UK,1995,4099999.9999999995,Historical,Sam Neill
Reversal of Fortune,US/UK,1990,15400000,Other,Jeremy Irons
Reversal of Fortune,US/UK,1990,15400000,Other,Glenn Close
Rhapsody in Blue,US,1945,NA,Musician,Robert Alda
Richard III,UK,1955,NA,Historical,Laurence Olivier
Ricky 6,US,2000,NA,Criminal,Vincent Kartheiser
Riding in Cars with Boys,US,2001,29800000,Other,Drew Barrymore
